="DML LASSO Linear Model Estimates"

="",="(1)"
="",="DML"

="RDAT",="0.199***"
="",="(0.013)"

="lnME",="0.036***"
="",="(0.002)"

="RD_missing",="-0.152***"
="",="(0.006)"

="lnAge",="0.053***"
="",="(0.004)"

="lnK2L",="0.008***"
="",="(0.002)"

="TobinQ",="0.002"
="",="(0.002)"

="ROA",="0.008"
="",="(0.016)"

="Leverage",="-0.050***"
="",="(0.013)"

="CASHAT",="0.057***"
="",="(0.017)"

="KZidx",="-0.000*"
="",="(0.000)"

="InstOwn",="0.010"
="",="(0.018)"

="oms_HHidx",="0.268***"
="",="(0.043)"

="oms_HHidx_square",="-0.242***"
="",="(0.037)"

="FirmFE",="yes"
="YearFE",="yes"
="N",="86341.000"
="N_clust",="11544.000"
="k_controls",="11570.000"
="k_controls_sel",="1991.000"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
