="RD-Patent PRL Poisson Model Estimates"

="",="(1)"
="",="PRL_Poisson_fmyr"

="npatent",=""
="RDAT",="2.413***"
="",="(0.161)"

="lnME",="0.938***"
="",="(0.079)"

="RD_missing",="-2.100***"
="",="(0.250)"

="lnAge",="0.468***"
="",="(0.179)"

="lnK2L",="0.060"
="",="(0.043)"

="TobinQ",="-0.161***"
="",="(0.030)"

="ROA",="1.087***"
="",="(0.354)"

="Leverage",="0.643"
="",="(0.411)"

="CASHAT",="0.321"
="",="(0.473)"

="KZidx",="0.015"
="",="(0.011)"

="InstOwn",="-0.907***"
="",="(0.283)"

="oms_HHidx",="1.421"
="",="(1.344)"

="oms_HHidx_square",="-1.584"
="",="(1.180)"

="FirmFE",="yes"
="YearFE",="yes"
="N",="86341.000"
="N_clust",="11544.000"
="k_controls",="11570.000"
="k_controls_sel",="1223.000"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
